id,title,date,author,link,content,dateRead
85,Президент Швейцарии заявил о давлении по вопросу передачи Украине замороженных российских активов,"Fri, 20 Jan 2023 17:40:06 +0300",,https://www.kommersant.ru/doc/5782647,"Президент Швейцарии Иньяцио Кассис заявил, что страна ощущает давление международного сообщества, требующего…",2023-01-20 17:25:47.915785
86,МИД Британии заявил о намерении страны возглавить трибунал по Украине,"Fri, 20 Jan 2023 17:39:02 +0300",,https://www.kommersant.ru/doc/5782696,"Великобритания присоединилась к группе стран, добивающихся привлечения России к ответственности за конфликт…",2023-01-20 17:25:47.916786
87,В правительстве объяснили снижение показателей «дорожной карты» по развитию ИИ в РФ изменением методик подсчета,"Fri, 20 Jan 2023 17:34:31 +0300",,https://www.kommersant.ru/doc/5782651,"Снижение прогнозируемого объема рынка искусственного интеллекта (ИИ) в России со 160,1 млрд руб. (эти…",2023-01-20 17:25:47.916786
88,На жителя Керчи завели уголовное дело за экстремистский комментарий,"Fri, 20 Jan 2023 17:32:08 +0300",,https://www.kommersant.ru/doc/5782662,В отношении жителя Керчи возбудили уголовное дело за призывы в интернете к убийству российских военнослужащих…,2023-01-20 17:25:47.916786
89,Власти ЦАР заявили о намерении увеличить число российских инструкторов для обучения военных,"Fri, 20 Jan 2023 17:30:57 +0300",,https://www.kommersant.ru/doc/5782689,"Центральноафриканской республики Феликс Молуа заявил, что население просит увеличить присутствие российских…",2023-01-20 17:25:47.916786
90,В Воронежской области запретили полеты беспилотников,"Fri, 20 Jan 2023 17:17:26 +0300",,https://www.kommersant.ru/doc/5782685,Губернатор Воронежской области Александр Гусев на заседании оперштаба по вопросам спецоперации сегодня…,2023-01-20 17:25:47.916786
91,Дворцовый мост засверкает красным цветом в честь китайского Нового года,"Fri, 20 Jan 2023 18:24:35 +0300",,https://spb.mk.ru/social/2023/01/20/dvorcovyy-most-zasverkaet-krasnym-cvetom-v-chest-kitayskogo-novogo-goda.html,В Петербурге в честь китайского Нового года новую подсветку получит Дворцовой мост. Об этом сообщили в пресс-службе Смольного.,2023-01-20 17:25:48.781355
92,Директор мукомольного производства в Чувашии по неосторожности убил работника,"Fri, 20 Jan 2023 18:24:25 +0300",,https://cheb.mk.ru/incident/2023/01/20/direktor-mukomolnogo-proizvodstva-v-chuvashii-po-neostorozhnosti-ubil-rabotnika.html,"Халатное отношение к охране труда привели к гибели рабочего мукомольного производства в Чебоксарах, директор понесет уголовную ответственность.",2023-01-20 17:25:48.781355
93,Пушилин заявил о переброске резервов ВСУ в район Марьинки,"Fri, 20 Jan 2023 18:20:00 +0300",,https://www.mk.ru/politics/2023/01/20/pushilin-zayavil-o-perebroske-rezervov-vsu-v-rayon-marinki.html,В окрестностях Марьинки под Донецком концентрируются дополнительные силы украинской армии,2023-01-20 17:25:48.782355
94,Военный эксперт Костикин назвал последствия ядерного конфликта на планете,"Fri, 20 Jan 2023 18:19:43 +0300",,https://rzn.mk.ru/social/2023/01/20/voennyy-ekspert-kostikin-nazval-posledstviya-yadernogo-konflikta-na-planete.html,"Военный эксперт рассказал, как на Земле отразится ядерный конфликт",2023-01-20 17:25:48.782355
95,Соседняя с Курской область подверглась обстрелу ВСУ,"Fri, 20 Jan 2023 18:19:15 +0300",,https://chr.mk.ru/incident/2023/01/20/sosednyaya-s-kurskoy-oblast-podverglas-obstrelu-vsu.html,"Сегодня, 20 января, очередному обстрелу со стороны Украины подверглась соседняя с Соловьиным краем Белгородская область",2023-01-20 17:25:48.782355
96,"В Роспотребнадзоре объяснили, можно ли перевозить домашних животных в такси","Fri, 20 Jan 2023 18:19:11 +0300",,https://spb.mk.ru/social/2023/01/20/v-rospotrebnadzore-obyasnili-mozhno-li-perevozit-domashnikh-zhivotnykh-v-taksi.html,"Нередко пассажиры такси садятся в машину вместе с животными. В пресс-службе петербургского Роспотребнадзора объяснили, можно ли перевозить питомцев.",2023-01-20 17:25:48.782355
97,Более 20 млрд рублей Петербург потратит на лекарства для амбулаторного лечения горожан в 2023 году,"Fri, 20 Jan 2023 18:19:02 +0300",,https://spb.mk.ru/social/2023/01/20/bolee-20-mlrd-rubley-peterburg-potratit-na-lekarstva-dlya-ambulatornogo-lecheniya-gorozhan-v-2023-godu.html,В Петербурге объем финансирования лекарств при амбулаторном лечении c 2019 по 2023 год увеличился более чем в четыре раза. Об этом сообщила пресс-служба городского комитета по здравоохранению.,2023-01-20 17:25:48.782355
98,Праздник в день студента пройдет в псковском торговом центре,"Fri, 20 Jan 2023 18:17:39 +0300",,https://www.mk-pskov.ru/social/2023/01/20/prazdnik-v-den-studenta-proydet-v-pskovskom-torgovom-centre.html,Праздник в день студента пройдет в псковском торговом центре «Максимус»,2023-01-20 17:25:48.782355
99,Ограбившего ребенка мужчину задержали калининградские полицейские,"Fri, 20 Jan 2023 18:16:17 +0300",,https://www.mk-kaliningrad.ru/incident/2023/01/20/ograbivshego-rebenka-muzhchinu-zaderzhali-kaliningradskie-policeyskie.html,"В полицию Калининграда поступила информация, что около подъезда многоквартирного дома, который находится по улице Дзержинского, некто совершил нападение на 11-летнюю девочку, далее отобрал у нее смартфон и убежал",2023-01-20 17:25:48.782355
100,Эрдоган предложил Зеленскому посредничество в переговорах с Москвой,"Fri, 20 Jan 2023 18:15:30 +0300",,https://www.mk.ru/politics/2023/01/20/erdogan-predlozhil-zelenskomu-posrednichestvo-v-peregovorakh-s-moskvoy.html,Президент Турции Тайип Эрдоган предложил украинскому лидеру Владимиру Зеленскому посредничество Анкары в переговорах с Москвой в целях достижения мирного урегулирования,2023-01-20 17:25:48.783356
